Selling_Price
4.35
3.0
9.15
2.25
5.85
2.25
3.95
8.4
13.575
2.65
1.5
13.575
3.15
13.575
7.5
12.9
8.35
4.9
7.4
3.0
8.4
5.95
13.575
5.25
5.5
2.55
11.25
4.75
13.575
4.15
5.35
11.5
1.95
4.85
4.5
6.95
5.95
7.75
3.1
3.9
7.75
7.2
6.0
10.25
3.1
12.5
2.9
11.75
6.4
4.0
